アセンブリ名	名前空間名	型名	スタティックメソッド名	スタティックメソッドの戻り値の型名	スタティックメソッドの仮引数の個数	スタティックメソッドの仮引数の位置番号	スタティックメソッドの仮引数の変数名	スタティックメソッドの仮引数の型名
Newtonsoft.Json	Newtonsoft.Json	Newtonsoft.Json.JsonConvert	SerializeObject	System.String	2	0,1	value,converters	Object,JsonConverter[]
Newtonsoft.Json	Newtonsoft.Json	Newtonsoft.Json.JsonConvert	SerializeObject	System.String	3	0,1,2	value,formatting,converters	Object,Formatting,JsonConverter[]
Newtonsoft.Json	Newtonsoft.Json	Newtonsoft.Json.JsonConvert	SerializeObject	System.String	2	0,1	value,settings	Object,JsonSerializerSettings
Newtonsoft.Json	Newtonsoft.Json	Newtonsoft.Json.JsonConvert	SerializeObject	System.String	3	0,1,2	value,type,settings	Object,Type,JsonSerializerSettings
Newtonsoft.Json	Newtonsoft.Json	Newtonsoft.Json.JsonConvert	SerializeObject	System.String	3	0,1,2	value,formatting,settings	Object,Formatting,JsonSerializerSettings
Newtonsoft.Json	Newtonsoft.Json	Newtonsoft.Json.JsonConvert	SerializeObject	System.String	4	0,1,2,3	value,type,formatting,settings	Object,Type,Formatting,JsonSerializerSettings
Newtonsoft.Json	Newtonsoft.Json	Newtonsoft.Json.JsonConvert	DeserializeObject	System.Object	1	0	value	String
Newtonsoft.Json	Newtonsoft.Json	Newtonsoft.Json.JsonConvert	DeserializeObject	System.Object	2	0,1	value,settings	String,JsonSerializerSettings
Newtonsoft.Json	Newtonsoft.Json	Newtonsoft.Json.JsonConvert	DeserializeObject	System.Object	2	0,1	value,type	String,Type
Newtonsoft.Json	Newtonsoft.Json	Newtonsoft.Json.JsonConvert	DeserializeObject		1	0	value	String
Newtonsoft.Json	Newtonsoft.Json	Newtonsoft.Json.JsonConvert	DeserializeAnonymousType		2	0,1	value,anonymousTypeObject	String,T
Newtonsoft.Json	Newtonsoft.Json	Newtonsoft.Json.JsonConvert	DeserializeAnonymousType		3	0,1,2	value,anonymousTypeObject,settings	String,T,JsonSerializerSettings
Newtonsoft.Json	Newtonsoft.Json	Newtonsoft.Json.JsonConvert	DeserializeObject		2	0,1	value,converters	String,JsonConverter[]
Newtonsoft.Json	Newtonsoft.Json	Newtonsoft.Json.JsonConvert	DeserializeObject		2	0,1	value,settings	String,JsonSerializerSettings
Newtonsoft.Json	Newtonsoft.Json	Newtonsoft.Json.JsonConvert	DeserializeObject	System.Object	3	0,1,2	value,type,converters	String,Type,JsonConverter[]
Newtonsoft.Json	Newtonsoft.Json	Newtonsoft.Json.JsonConvert	DeserializeObject	System.Object	3	0,1,2	value,type,settings	String,Type,JsonSerializerSettings
Newtonsoft.Json	Newtonsoft.Json	Newtonsoft.Json.JsonConvert	PopulateObject	System.Void	2	0,1	value,target	String,Object
Newtonsoft.Json	Newtonsoft.Json	Newtonsoft.Json.JsonConvert	PopulateObject	System.Void	3	0,1,2	value,target,settings	String,Object,JsonSerializerSettings
Newtonsoft.Json	Newtonsoft.Json	Newtonsoft.Json.JsonConvert	SerializeXmlNode	System.String	1	0	node	XmlNode
Newtonsoft.Json	Newtonsoft.Json	Newtonsoft.Json.JsonConvert	SerializeXmlNode	System.String	2	0,1	node,formatting	XmlNode,Formatting
Newtonsoft.Json	Newtonsoft.Json	Newtonsoft.Json.JsonConvert	SerializeXmlNode	System.String	3	0,1,2	node,formatting,omitRootObject	XmlNode,Formatting,Boolean
Newtonsoft.Json	Newtonsoft.Json	Newtonsoft.Json.JsonConvert	DeserializeXmlNode	System.Xml.XmlDocument	1	0	value	String
Newtonsoft.Json	Newtonsoft.Json	Newtonsoft.Json.JsonConvert	DeserializeXmlNode	System.Xml.XmlDocument	2	0,1	value,deserializeRootElementName	String,String
Newtonsoft.Json	Newtonsoft.Json	Newtonsoft.Json.JsonConvert	DeserializeXmlNode	System.Xml.XmlDocument	3	0,1,2	value,deserializeRootElementName,writeArrayAttribute	String,String,Boolean
Newtonsoft.Json	Newtonsoft.Json	Newtonsoft.Json.JsonConvert	DeserializeXmlNode	System.Xml.XmlDocument	4	0,1,2,3	value,deserializeRootElementName,writeArrayAttribute,encodeSpecialCharacters	String,String,Boolean,Boolean
Newtonsoft.Json	Newtonsoft.Json	Newtonsoft.Json.JsonConvert	SerializeXNode	System.String	1	0	node	XObject
Newtonsoft.Json	Newtonsoft.Json	Newtonsoft.Json.JsonConvert	SerializeXNode	System.String	2	0,1	node,formatting	XObject,Formatting
Newtonsoft.Json	Newtonsoft.Json	Newtonsoft.Json.JsonConvert	SerializeXNode	System.String	3	0,1,2	node,formatting,omitRootObject	XObject,Formatting,Boolean
Newtonsoft.Json	Newtonsoft.Json	Newtonsoft.Json.JsonConvert	DeserializeXNode	System.Xml.Linq.XDocument	1	0	value	String
Newtonsoft.Json	Newtonsoft.Json	Newtonsoft.Json.JsonConvert	DeserializeXNode	System.Xml.Linq.XDocument	2	0,1	value,deserializeRootElementName	String,String
Newtonsoft.Json	Newtonsoft.Json	Newtonsoft.Json.JsonConvert	DeserializeXNode	System.Xml.Linq.XDocument	3	0,1,2	value,deserializeRootElementName,writeArrayAttribute	String,String,Boolean
Newtonsoft.Json	Newtonsoft.Json	Newtonsoft.Json.JsonConvert	DeserializeXNode	System.Xml.Linq.XDocument	4	0,1,2,3	value,deserializeRootElementName,writeArrayAttribute,encodeSpecialCharacters	String,String,Boolean,Boolean
Newtonsoft.Json	Newtonsoft.Json	Newtonsoft.Json.JsonSerializer	Create	Newtonsoft.Json.JsonSerializer	0	ないよーん	ないよーん	ないよーん
Newtonsoft.Json	Newtonsoft.Json	Newtonsoft.Json.JsonSerializer	Create	Newtonsoft.Json.JsonSerializer	1	0	settings	JsonSerializerSettings
Newtonsoft.Json	Newtonsoft.Json	Newtonsoft.Json.JsonSerializer	CreateDefault	Newtonsoft.Json.JsonSerializer	0	ないよーん	ないよーん	ないよーん
Newtonsoft.Json	Newtonsoft.Json	Newtonsoft.Json.JsonSerializer	CreateDefault	Newtonsoft.Json.JsonSerializer	1	0	settings	JsonSerializerSettings
Newtonsoft.Json	Newtonsoft.Json.Utilities	Newtonsoft.Json.Utilities.AsyncUtils	CancelIfRequestedAsync	System.Threading.Tasks.Task	1	0	cancellationToken	CancellationToken
Newtonsoft.Json	Newtonsoft.Json.Utilities	Newtonsoft.Json.Utilities.AsyncUtils	CancelIfRequestedAsync		1	0	cancellationToken	CancellationToken
Newtonsoft.Json	Newtonsoft.Json.Utilities	Newtonsoft.Json.Utilities.AsyncUtils	FromCanceled	System.Threading.Tasks.Task	1	0	cancellationToken	CancellationToken
Newtonsoft.Json	Newtonsoft.Json.Utilities	Newtonsoft.Json.Utilities.AsyncUtils	FromCanceled		1	0	cancellationToken	CancellationToken
Newtonsoft.Json	Newtonsoft.Json.Utilities	Newtonsoft.Json.Utilities.AsyncUtils	WriteAsync	System.Threading.Tasks.Task	3	0,1,2	writer,value,cancellationToken	TextWriter,Char,CancellationToken
Newtonsoft.Json	Newtonsoft.Json.Utilities	Newtonsoft.Json.Utilities.AsyncUtils	WriteAsync	System.Threading.Tasks.Task	3	0,1,2	writer,value,cancellationToken	TextWriter,String,CancellationToken
Newtonsoft.Json	Newtonsoft.Json.Utilities	Newtonsoft.Json.Utilities.AsyncUtils	WriteAsync	System.Threading.Tasks.Task	5	0,1,2,3,4	writer,value,start,count,cancellationToken	TextWriter,Char[],Int32,Int32,CancellationToken
Newtonsoft.Json	Newtonsoft.Json.Utilities	Newtonsoft.Json.Utilities.AsyncUtils	ReadAsync	System.Threading.Tasks.Task`1[[System.Int32, System.Private.CoreLib, Version=4.0.0.0, Culture=neutral, PublicKeyToken=7cec85d7bea7798e]]	5	0,1,2,3,4	reader,buffer,index,count,cancellationToken	TextReader,Char[],Int32,Int32,CancellationToken
Newtonsoft.Json	Newtonsoft.Json.Utilities	Newtonsoft.Json.Utilities.AsyncUtils	IsCompletedSucessfully	System.Boolean	1	0	task	Task
Newtonsoft.Json	Newtonsoft.Json.Utilities	Newtonsoft.Json.Utilities.CollectionUtils	IsNullOrEmpty	System.Boolean	1	0	collection	ICollection`1
Newtonsoft.Json	Newtonsoft.Json.Utilities	Newtonsoft.Json.Utilities.CollectionUtils	AddRange	System.Void	2	0,1	initial,collection	IList`1,IEnumerable`1
Newtonsoft.Json	Newtonsoft.Json.Utilities	Newtonsoft.Json.Utilities.CollectionUtils	IsDictionaryType	System.Boolean	1	0	type	Type
Newtonsoft.Json	Newtonsoft.Json.Utilities	Newtonsoft.Json.Utilities.CollectionUtils	ResolveEnumerableCollectionConstructor	System.Reflection.ConstructorInfo	2	0,1	collectionType,collectionItemType	Type,Type
Newtonsoft.Json	Newtonsoft.Json.Utilities	Newtonsoft.Json.Utilities.CollectionUtils	ResolveEnumerableCollectionConstructor	System.Reflection.ConstructorInfo	3	0,1,2	collectionType,collectionItemType,constructorArgumentType	Type,Type,Type
Newtonsoft.Json	Newtonsoft.Json.Utilities	Newtonsoft.Json.Utilities.CollectionUtils	AddDistinct	System.Boolean	2	0,1	list,value	IList`1,T
Newtonsoft.Json	Newtonsoft.Json.Utilities	Newtonsoft.Json.Utilities.CollectionUtils	AddDistinct	System.Boolean	3	0,1,2	list,value,comparer	IList`1,T,IEqualityComparer`1
Newtonsoft.Json	Newtonsoft.Json.Utilities	Newtonsoft.Json.Utilities.CollectionUtils	ContainsValue	System.Boolean	3	0,1,2	source,value,comparer	IEnumerable`1,TSource,IEqualityComparer`1
Newtonsoft.Json	Newtonsoft.Json.Utilities	Newtonsoft.Json.Utilities.CollectionUtils	AddRangeDistinct	System.Boolean	3	0,1,2	list,values,comparer	IList`1,IEnumerable`1,IEqualityComparer`1
Newtonsoft.Json	Newtonsoft.Json.Utilities	Newtonsoft.Json.Utilities.CollectionUtils	IndexOf	System.Int32	2	0,1	collection,predicate	IEnumerable`1,Func`2
Newtonsoft.Json	Newtonsoft.Json.Utilities	Newtonsoft.Json.Utilities.CollectionUtils	Contains	System.Boolean	3	0,1,2	list,value,comparer	List`1,T,IEqualityComparer
Newtonsoft.Json	Newtonsoft.Json.Utilities	Newtonsoft.Json.Utilities.CollectionUtils	IndexOfReference	System.Int32	2	0,1	list,item	List`1,T
Newtonsoft.Json	Newtonsoft.Json.Utilities	Newtonsoft.Json.Utilities.CollectionUtils	FastReverse	System.Void	1	0	list	List`1
Newtonsoft.Json	Newtonsoft.Json.Utilities	Newtonsoft.Json.Utilities.CollectionUtils	ToMultidimensionalArray	System.Array	3	0,1,2	values,type,rank	IList,Type,Int32
Newtonsoft.Json	Newtonsoft.Json.Utilities	Newtonsoft.Json.Utilities.CollectionUtils	ArrayEmpty		0	ないよーん	ないよーん	ないよーん
Newtonsoft.Json	Newtonsoft.Json.Utilities	Newtonsoft.Json.Utilities.ConvertUtils	GetTypeCode	Newtonsoft.Json.Utilities.PrimitiveTypeCode	1	0	t	Type
Newtonsoft.Json	Newtonsoft.Json.Utilities	Newtonsoft.Json.Utilities.ConvertUtils	GetTypeCode	Newtonsoft.Json.Utilities.PrimitiveTypeCode	2	0,1	t,isEnum	Type,Boolean&
Newtonsoft.Json	Newtonsoft.Json.Utilities	Newtonsoft.Json.Utilities.ConvertUtils	GetTypeInformation	Newtonsoft.Json.Utilities.TypeInformation	1	0	convertable	IConvertible
Newtonsoft.Json	Newtonsoft.Json.Utilities	Newtonsoft.Json.Utilities.ConvertUtils	IsConvertible	System.Boolean	1	0	t	Type
Newtonsoft.Json	Newtonsoft.Json.Utilities	Newtonsoft.Json.Utilities.ConvertUtils	ParseTimeSpan	System.TimeSpan	1	0	input	String
Newtonsoft.Json	Newtonsoft.Json.Utilities	Newtonsoft.Json.Utilities.ConvertUtils	FromBigInteger	System.Object	2	0,1	i,targetType	BigInteger,Type
Newtonsoft.Json	Newtonsoft.Json.Utilities	Newtonsoft.Json.Utilities.ConvertUtils	Convert	System.Object	3	0,1,2	initialValue,culture,targetType	Object,CultureInfo,Type
Newtonsoft.Json	Newtonsoft.Json.Utilities	Newtonsoft.Json.Utilities.ConvertUtils	ConvertOrCast	System.Object	3	0,1,2	initialValue,culture,targetType	Object,CultureInfo,Type
Newtonsoft.Json	Newtonsoft.Json.Utilities	Newtonsoft.Json.Utilities.ConvertUtils	VersionTryParse	System.Boolean	2	0,1	input,result	String,Version&
Newtonsoft.Json	Newtonsoft.Json.Utilities	Newtonsoft.Json.Utilities.ConvertUtils	IsInteger	System.Boolean	1	0	value	Object
Newtonsoft.Json	Newtonsoft.Json.Utilities	Newtonsoft.Json.Utilities.ConvertUtils	Int32TryParse	Newtonsoft.Json.Utilities.ParseResult	4	0,1,2,3	chars,start,length,value	Char[],Int32,Int32,Int32&
Newtonsoft.Json	Newtonsoft.Json.Utilities	Newtonsoft.Json.Utilities.ConvertUtils	Int64TryParse	Newtonsoft.Json.Utilities.ParseResult	4	0,1,2,3	chars,start,length,value	Char[],Int32,Int32,Int64&
Newtonsoft.Json	Newtonsoft.Json.Utilities	Newtonsoft.Json.Utilities.ConvertUtils	DecimalTryParse	Newtonsoft.Json.Utilities.ParseResult	4	0,1,2,3	chars,start,length,value	Char[],Int32,Int32,Decimal&
Newtonsoft.Json	Newtonsoft.Json.Utilities	Newtonsoft.Json.Utilities.ConvertUtils	TryConvertGuid	System.Boolean	2	0,1	s,g	String,Guid&
Newtonsoft.Json	Newtonsoft.Json.Utilities	Newtonsoft.Json.Utilities.ConvertUtils	TryHexTextToInt	System.Boolean	4	0,1,2,3	text,start,end,value	Char[],Int32,Int32,Int32&
Newtonsoft.Json	Newtonsoft.Json.Utilities	Newtonsoft.Json.Utilities.DateTimeUtils	GetUtcOffset	System.TimeSpan	1	0	d	DateTime
Newtonsoft.Json	Newtonsoft.Json.Utilities	Newtonsoft.Json.Utilities.DateTimeUtils	ToSerializationMode	System.Xml.XmlDateTimeSerializationMode	1	0	kind	DateTimeKind
Newtonsoft.Json	Newtonsoft.Json.Utilities	Newtonsoft.Json.Utilities.DynamicUtils	GetDynamicMemberNames	System.Collections.Generic.IEnumerable`1[[System.String, System.Private.CoreLib, Version=4.0.0.0, Culture=neutral, PublicKeyToken=7cec85d7bea7798e]]	1	0	dynamicProvider	IDynamicMetaObjectProvider
Newtonsoft.Json	Newtonsoft.Json.Utilities	Newtonsoft.Json.Utilities.EnumUtils	GetFlagsValues		1	0	value	T
Newtonsoft.Json	Newtonsoft.Json.Utilities	Newtonsoft.Json.Utilities.EnumUtils	TryToString	System.Boolean	4	0,1,2,3	enumType,value,camelCase,name	Type,Object,Boolean,String&
Newtonsoft.Json	Newtonsoft.Json.Utilities	Newtonsoft.Json.Utilities.EnumUtils	TryToString	System.Boolean	4	0,1,2,3	enumType,value,namingStrategy,name	Type,Object,NamingStrategy,String&
Newtonsoft.Json	Newtonsoft.Json.Utilities	Newtonsoft.Json.Utilities.EnumUtils	GetEnumValuesAndNames	Newtonsoft.Json.Utilities.EnumInfo	1	0	enumType	Type
Newtonsoft.Json	Newtonsoft.Json.Utilities	Newtonsoft.Json.Utilities.EnumUtils	ParseEnum	System.Object	4	0,1,2,3	enumType,namingStrategy,value,disallowNumber	Type,NamingStrategy,String,Boolean
Newtonsoft.Json	Newtonsoft.Json.Utilities	Newtonsoft.Json.Utilities.FSharpUtils	get_Instance	Newtonsoft.Json.Utilities.FSharpUtils	0	ないよーん	ないよーん	ないよーん
Newtonsoft.Json	Newtonsoft.Json.Utilities	Newtonsoft.Json.Utilities.FSharpUtils	EnsureInitialized	System.Void	1	0	fsharpCoreAssembly	Assembly
Newtonsoft.Json	Newtonsoft.Json.Utilities	Newtonsoft.Json.Utilities.BufferUtils	RentBuffer	System.Char[]	2	0,1	bufferPool,minSize	IArrayPool`1,Int32
Newtonsoft.Json	Newtonsoft.Json.Utilities	Newtonsoft.Json.Utilities.BufferUtils	ReturnBuffer	System.Void	2	0,1	bufferPool,buffer	IArrayPool`1,Char[]
Newtonsoft.Json	Newtonsoft.Json.Utilities	Newtonsoft.Json.Utilities.BufferUtils	EnsureBufferSize	System.Char[]	3	0,1,2	bufferPool,size,buffer	IArrayPool`1,Int32,Char[]
Newtonsoft.Json	Newtonsoft.Json.Utilities	Newtonsoft.Json.Utilities.JavaScriptUtils	GetCharEscapeFlags	System.Boolean[]	2	0,1	stringEscapeHandling,quoteChar	StringEscapeHandling,Char
Newtonsoft.Json	Newtonsoft.Json.Utilities	Newtonsoft.Json.Utilities.JavaScriptUtils	ShouldEscapeJavaScriptString	System.Boolean	2	0,1	s,charEscapeFlags	String,Boolean[]
Newtonsoft.Json	Newtonsoft.Json.Utilities	Newtonsoft.Json.Utilities.JavaScriptUtils	WriteEscapedJavaScriptString	System.Void	8	0,1,2,3,4,5,6,7	writer,s,delimiter,appendDelimiters,charEscapeFlags,stringEscapeHandling,bufferPool,writeBuffer	TextWriter,String,Char,Boolean,Boolean[],StringEscapeHandling,IArrayPool`1,Char[]&
Newtonsoft.Json	Newtonsoft.Json.Utilities	Newtonsoft.Json.Utilities.JavaScriptUtils	ToEscapedJavaScriptString	System.String	4	0,1,2,3	value,delimiter,appendDelimiters,stringEscapeHandling	String,Char,Boolean,StringEscapeHandling
Newtonsoft.Json	Newtonsoft.Json.Utilities	Newtonsoft.Json.Utilities.JavaScriptUtils	WriteEscapedJavaScriptStringAsync	System.Threading.Tasks.Task	9	0,1,2,3,4,5,6,7,8	writer,s,delimiter,appendDelimiters,charEscapeFlags,stringEscapeHandling,client,writeBuffer,cancellationToken	TextWriter,String,Char,Boolean,Boolean[],StringEscapeHandling,JsonTextWriter,Char[],CancellationToken
Newtonsoft.Json	Newtonsoft.Json.Utilities	Newtonsoft.Json.Utilities.JavaScriptUtils	WriteCharAsync	System.Threading.Tasks.Task	4	0,1,2,3	task,writer,c,cancellationToken	Task,TextWriter,Char,CancellationToken
Newtonsoft.Json	Newtonsoft.Json.Utilities	Newtonsoft.Json.Utilities.JavaScriptUtils	TryGetDateFromConstructorJson	System.Boolean	3	0,1,2	reader,dateTime,errorMessage	JsonReader,DateTime&,String&
Newtonsoft.Json	Newtonsoft.Json.Utilities	Newtonsoft.Json.Utilities.MathUtils	IntLength	System.Int32	1	0	i	UInt64
Newtonsoft.Json	Newtonsoft.Json.Utilities	Newtonsoft.Json.Utilities.MathUtils	IntToHex	System.Char	1	0	n	Int32
Newtonsoft.Json	Newtonsoft.Json.Utilities	Newtonsoft.Json.Utilities.MathUtils	Min	System.Nullable`1[[System.Int32, System.Private.CoreLib, Version=4.0.0.0, Culture=neutral, PublicKeyToken=7cec85d7bea7798e]]	2	0,1	val1,val2	Nullable`1,Nullable`1
Newtonsoft.Json	Newtonsoft.Json.Utilities	Newtonsoft.Json.Utilities.MathUtils	Max	System.Nullable`1[[System.Int32, System.Private.CoreLib, Version=4.0.0.0, Culture=neutral, PublicKeyToken=7cec85d7bea7798e]]	2	0,1	val1,val2	Nullable`1,Nullable`1
Newtonsoft.Json	Newtonsoft.Json.Utilities	Newtonsoft.Json.Utilities.MathUtils	Max	System.Nullable`1[[System.Double, System.Private.CoreLib, Version=4.0.0.0, Culture=neutral, PublicKeyToken=7cec85d7bea7798e]]	2	0,1	val1,val2	Nullable`1,Nullable`1
Newtonsoft.Json	Newtonsoft.Json.Utilities	Newtonsoft.Json.Utilities.MathUtils	ApproxEquals	System.Boolean	2	0,1	d1,d2	Double,Double
Newtonsoft.Json	Newtonsoft.Json.Utilities	Newtonsoft.Json.Utilities.MiscellaneousUtils	Assert	System.Void	2	0,1	condition,message	Boolean,String
Newtonsoft.Json	Newtonsoft.Json.Utilities	Newtonsoft.Json.Utilities.MiscellaneousUtils	ValueEquals	System.Boolean	2	0,1	objA,objB	Object,Object
Newtonsoft.Json	Newtonsoft.Json.Utilities	Newtonsoft.Json.Utilities.MiscellaneousUtils	CreateArgumentOutOfRangeException	System.ArgumentOutOfRangeException	3	0,1,2	paramName,actualValue,message	String,Object,String
Newtonsoft.Json	Newtonsoft.Json.Utilities	Newtonsoft.Json.Utilities.MiscellaneousUtils	ToString	System.String	1	0	value	Object
Newtonsoft.Json	Newtonsoft.Json.Utilities	Newtonsoft.Json.Utilities.MiscellaneousUtils	ByteArrayCompare	System.Int32	2	0,1	a1,a2	Byte[],Byte[]
Newtonsoft.Json	Newtonsoft.Json.Utilities	Newtonsoft.Json.Utilities.MiscellaneousUtils	GetPrefix	System.String	1	0	qualifiedName	String
Newtonsoft.Json	Newtonsoft.Json.Utilities	Newtonsoft.Json.Utilities.MiscellaneousUtils	GetLocalName	System.String	1	0	qualifiedName	String
Newtonsoft.Json	Newtonsoft.Json.Utilities	Newtonsoft.Json.Utilities.MiscellaneousUtils	GetQualifiedNameParts	System.Void	3	0,1,2	qualifiedName,prefix,localName	String,String&,String&
Newtonsoft.Json	Newtonsoft.Json.Utilities	Newtonsoft.Json.Utilities.ReflectionObject	Create	Newtonsoft.Json.Utilities.ReflectionObject	2	0,1	t,memberNames	Type,String[]
Newtonsoft.Json	Newtonsoft.Json.Utilities	Newtonsoft.Json.Utilities.ReflectionObject	Create	Newtonsoft.Json.Utilities.ReflectionObject	3	0,1,2	t,creator,memberNames	Type,MethodBase,String[]
Newtonsoft.Json	Newtonsoft.Json.Utilities	Newtonsoft.Json.Utilities.ReflectionUtils	IsVirtual	System.Boolean	1	0	propertyInfo	PropertyInfo
Newtonsoft.Json	Newtonsoft.Json.Utilities	Newtonsoft.Json.Utilities.ReflectionUtils	GetBaseDefinition	System.Reflection.MethodInfo	1	0	propertyInfo	PropertyInfo
Newtonsoft.Json	Newtonsoft.Json.Utilities	Newtonsoft.Json.Utilities.ReflectionUtils	IsPublic	System.Boolean	1	0	property	PropertyInfo
Newtonsoft.Json	Newtonsoft.Json.Utilities	Newtonsoft.Json.Utilities.ReflectionUtils	GetObjectType	System.Type	1	0	v	Object
Newtonsoft.Json	Newtonsoft.Json.Utilities	Newtonsoft.Json.Utilities.ReflectionUtils	GetTypeName	System.String	3	0,1,2	t,assemblyFormat,binder	Type,TypeNameAssemblyFormatHandling,ISerializationBinder
Newtonsoft.Json	Newtonsoft.Json.Utilities	Newtonsoft.Json.Utilities.ReflectionUtils	HasDefaultConstructor	System.Boolean	2	0,1	t,nonPublic	Type,Boolean
Newtonsoft.Json	Newtonsoft.Json.Utilities	Newtonsoft.Json.Utilities.ReflectionUtils	GetDefaultConstructor	System.Reflection.ConstructorInfo	1	0	t	Type
Newtonsoft.Json	Newtonsoft.Json.Utilities	Newtonsoft.Json.Utilities.ReflectionUtils	GetDefaultConstructor	System.Reflection.ConstructorInfo	2	0,1	t,nonPublic	Type,Boolean
Newtonsoft.Json	Newtonsoft.Json.Utilities	Newtonsoft.Json.Utilities.ReflectionUtils	IsNullable	System.Boolean	1	0	t	Type
Newtonsoft.Json	Newtonsoft.Json.Utilities	Newtonsoft.Json.Utilities.ReflectionUtils	IsNullableType	System.Boolean	1	0	t	Type
Newtonsoft.Json	Newtonsoft.Json.Utilities	Newtonsoft.Json.Utilities.ReflectionUtils	EnsureNotNullableType	System.Type	1	0	t	Type
Newtonsoft.Json	Newtonsoft.Json.Utilities	Newtonsoft.Json.Utilities.ReflectionUtils	EnsureNotByRefType	System.Type	1	0	t	Type
Newtonsoft.Json	Newtonsoft.Json.Utilities	Newtonsoft.Json.Utilities.ReflectionUtils	IsGenericDefinition	System.Boolean	2	0,1	type,genericInterfaceDefinition	Type,Type
Newtonsoft.Json	Newtonsoft.Json.Utilities	Newtonsoft.Json.Utilities.ReflectionUtils	ImplementsGenericDefinition	System.Boolean	2	0,1	type,genericInterfaceDefinition	Type,Type
